USE NNV;
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (1, 1, 1, 6294522 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (26, 26, 26, 1869122 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (27, 27, 27, 6111294 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (28, 28, 28, 423354 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (29, 29, 29, 8335475 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (30, 30, 30, 8359920 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (31, 31, 31, 7459164 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (32, 32, 32, 1321964 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (33, 33, 33, 8622564 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (34, 34, 34, 3223296 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (35, 35, 35, 7756388 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (36, 36, 36, 3531422 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (37, 37, 37, 3517059 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (38, 38, 38, 2907538 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (39, 39, 39, 681069 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (40, 40, 40, 9685192 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (41, 41, 41, 1246792 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (42, 42, 42, 249450 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (43, 43, 43, 3601364 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (44, 44, 44, 417317 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (45, 45, 45, 1577598 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (46, 46, 46, 2316221 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (47, 47, 47, 2217081 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (48, 48, 48, 1771640 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (49, 49, 49, 6265823 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (50, 50, 50, 453378 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (51, 51, 51, 7416476 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (52, 52, 52, 2399344 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (53, 53, 53, 3776411 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (54, 54, 54, 4696978 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (55, 55, 55, 6317637 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (56, 56, 56, 3736194 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (57, 57, 57, 808391 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (58, 58, 58, 8779979 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (59, 59, 59, 6048205 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (60, 60, 60, 2480312 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (61, 61, 61, 6368260 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (62, 62, 62, 4355750 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (63, 63, 63, 4950964 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (64, 64, 64, 5240535 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (65, 65, 65, 2494265 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (66, 66, 66, 1129180 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (67, 67, 67, 8571916 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (68, 68, 68, 7490647 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (69, 69, 69, 8447997 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (70, 70, 70, 878488 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (71, 71, 71, 4133883 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (72, 72, 72, 464748 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (73, 73, 73, 2794754 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (74, 74, 74, 7831797 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (75, 75, 75, 8058501 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (76, 76, 76, 1942318 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (77, 77, 77, 2132912 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (78, 78, 78, 261510 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (79, 79, 79, 7532138 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (80, 80, 80, 9861708 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (81, 81, 81, 7069032 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (82, 82, 82, 8372544 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (83, 83, 83, 4036600 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (84, 84, 84, 538513 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (85, 85, 85, 8909681 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (86, 86, 86, 8172724 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (87, 87, 87, 4937476 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (88, 88, 88, 909239 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (89, 89, 89, 6752875 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (90, 90, 90, 9343850 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (91, 91, 91, 375660 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (92, 92, 92, 6315386 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (93, 93, 93, 4390538 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (94, 94, 94, 3021789 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (95, 95, 95, 1502615 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (96, 96, 96, 6123106 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (97, 97, 97, 6767807 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (98, 98, 98, 4616160 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (99, 99, 99, 240539 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (100, 100, 100, 5179246 );
