USE NNV;
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 50, 1, 2017-08-17, 15, 'get the second pair at half price', '1' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 24, 51, 2012-10-22, 13, '', '51' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 46, 52, 2015-07-05, 68, '', '52' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 29, 53, 2019-11-04, 18, '', '53' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 16, 54, 2005-03-28, 26, 'Get a free trial of our software for 30 days', '54' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 74, 55, 2001-12-07, 35, '', '55' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 12, 56, 2009-07-24, 21, 'Buy one', '56' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 13, 57, 2017-05-07, 19, 'Enjoy a free upgrade to priority boarding with any flight booking', '57' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 86, 58, 2001-09-08, 25, 'Enjoy a free upgrade to a larger size on any beverage purchase', '58' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 10, 59, 2005-03-13, 29, 'Receive a complimentary dessert with the purchase of any family meal', '59' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 89, 60, 2007-11-22, 33, 'Take $25 off your first month of membership', '60' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 93, 61, 2004-11-27, 47, 'Enjoy a free upgrade to a premium subscription for 7 days', '61' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 75, 62, 2010-07-08, 43, 'get one free on all smoothie flavors', '62' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 60, 63, 2003-10-12, 56, 'Take $25 off your first purchase when you join our loyalty program', '63' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 51, 64, 2014-11-29, 70, 'Buy one', '64' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 29, 65, 2016-09-01, 68, 'Buy one', '65' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 66, 66, 2010-03-06, 20, 'Receive a complimentary gift with any purchase over $50', '66' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 73, 67, 2002-02-21, 36, 'Receive a complimentary appetizer with the purchase of any two entrees', '67' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 15, 68, 2001-01-02, 35, '', '68' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 19, 69, 2002-03-18, 57, '', '69' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 1, 70, 2008-12-22, 18, 'Take $25 off your first month of membership', '70' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 59, 71, 2020-10-31, 29, '', '71' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 48, 72, 2009-06-04, 11, 'Receive a complimentary drink with any happy hour special', '72' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 15, 73, 2023-11-25, 54, 'Enjoy a free trial of our premium subscription for 30 days', '73' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 65, 74, 2010-10-11, 65, 'Receive a complimentary drink with any dinner special', '74' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 98, 75, 2013-05-07, 13, 'Receive a complimentary appetizer with the purchase of any bottle of wine', '75' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 55, 76, 2010-08-08, 69, 'Buy 2', '76' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 40, 77, 2016-03-31, 40, 'Enjoy a free upgrade to a family-sized meal', '77' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 91, 78, 2007-05-30, 48, 'Get a free trial of our software for 14 days', '78' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 51, 79, 2015-11-06, 32, '', '79' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 53, 80, 2020-11-30, 54, 'Take $25 off your next purchase of $100 or more', '80' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 13, 81, 2021-05-28, 43, 'get 1 free on all protein powder varieties', '81' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 7, 82, 2006-04-04, 37, '', '82' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 61, 83, 2000-11-30, 48, 'Enjoy a buy one', '83' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 53, 84, 2009-07-30, 28, 'Take $20 off your first cleaning service', '84' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 49, 85, 2003-04-25, 35, 'Save 30% on all summer dresses', '85' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 21, 86, 2022-02-21, 47, '', '86' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 94, 87, 2017-10-22, 51, 'Buy one pair of shoes', '87' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 55, 88, 2006-12-26, 64, 'get one free on all classic board games', '88' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 3, 89, 2010-06-23, 55, 'Enjoy a free upgrade to a deluxe car wash', '89' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 53, 90, 2002-03-13, 46, '', '90' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 10, 91, 2003-03-29, 53, 'Get a free appetizer with the purchase of any two dinner entrees', '91' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 32, 92, 2006-03-28, 40, 'Buy one', '92' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 39, 93, 2003-03-30, 44, 'Get a free appetizer with the purchase of any bottle of wine', '93' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 9, 94, 2014-09-06, 62, '', '94' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 60, 95, 2005-09-11, 13, 'get 1 free on all houseplant varieties', '95' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 35, 96, 2017-12-24, 14, 'Buy 2', '96' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 95, 97, 2014-09-06, 36, 'Buy one pair of shoes', '97' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 37, 98, 2008-10-14, 55, 'get one free on all breakfast sandwiches', '98' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 41, 99, 2004-11-05, 36, '', '99' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 28, 100, 2018-08-14, 22, '', '100' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 5, 101, 2013-03-19, 63, '', '101' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 96, 102, 2001-04-22, 41, 'get 1 free on all art supplies', '102' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 43, 103, 2021-12-20, 64, 'Get a free gift with any purchase over $75', '103' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 63, 104, 2016-10-14, 44, 'Take $20 off your next purchase when you refer a friend', '104' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 19, 105, 2015-10-27, 37, 'Enjoy a free upgrade to a deluxe car wash', '105' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 35, 106, 2000-02-29, 50, 'get 1 free on all organic produce items', '106' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 57, 107, 2013-06-01, 60, 'Enjoy a free upgrade to express shipping on any order', '107' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 89, 108, 2018-01-30, 49, '', '108' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 58, 109, 2016-07-27, 15, '', '109' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 88, 110, 2021-09-12, 29, 'Enjoy a free trial of our premium subscription for 30 days', '110' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 96, 111, 2000-07-22, 51, 'Receive a complimentary appetizer with the purchase of any two entrees', '111' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 23, 112, 2023-08-05, 53, 'get 1 free on all protein powder varieties', '112' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 4, 113, 2018-06-27, 25, 'Take $25 off your next purchase of $100 or more', '113' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 3, 114, 2008-07-21, 48, 'Receive a free tote bag with any purchase over $50', '114' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 62, 115, 2010-06-07, 58, 'Buy 2', '115' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 64, 116, 2002-01-12, 41, '', '116' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 19, 117, 2011-10-10, 57, '', '117' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 80, 118, 2005-05-28, 33, 'Receive a complimentary drink with any dinner special', '118' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 92, 119, 2000-03-31, 10, 'Receive a complimentary dessert with the purchase of any dinner entree', '119' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 56, 120, 2019-07-27, 18, 'Get a free accessory with the purchase of any watch', '120' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 67, 121, 2009-09-03, 14, '', '121' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 42, 122, 2012-07-25, 54, '', '122' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 83, 123, 2001-08-05, 53, 'Buy one', '123' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 43, 124, 2013-12-12, 10, 'Take $20 off your next purchase when you refer a friend', '124' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 25, 125, 2009-08-03, 27, 'Get a free gift with any purchase over $100', '125' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 97, 126, 2018-05-17, 30, 'Get a free gift with any purchase over $75', '126' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 77, 127, 2000-10-17, 35, 'Enjoy a free upgrade to a larger size on any beverage purchase', '127' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 75, 128, 2002-06-07, 22, '', '128' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 28, 129, 2011-08-04, 21, 'Enjoy a free upgrade to a suite with any hotel reservation', '129' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 65, 130, 2017-03-08, 70, 'Receive a complimentary appetizer with the purchase of any two entrees', '130' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 78, 131, 2000-11-12, 29, 'Buy 2', '131' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 32, 132, 2016-06-18, 32, 'Get a free appetizer with the purchase of any two dinner entrees', '132' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 87, 133, 2011-08-21, 55, 'Receive a complimentary dessert with the purchase of any dinner for two', '133' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 78, 134, 2014-09-07, 14, 'Get a free trial of our software for 14 days', '134' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 58, 135, 2012-09-04, 52, 'Receive a free accessory with the purchase of any handbag', '135' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 93, 136, 2023-08-14, 47, 'Enjoy a free upgrade to express shipping on any order', '136' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 11, 137, 2009-05-08, 41, 'Buy one', '137' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 54, 138, 2001-04-04, 58, 'Buy one', '138' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 58, 139, 2005-07-23, 55, 'Get a complimentary dessert with the purchase of any main course', '139' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 37, 140, 2013-11-05, 15, '', '140' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 1, 141, 2021-11-07, 56, '', '141' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 96, 142, 2015-12-04, 18, 'Take $15 off any service on your first visit', '142' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 67, 143, 2006-04-02, 61, 'Enjoy a free upgrade to a premium subscription for 7 days', '143' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 56, 144, 2022-10-08, 68, 'Receive a complimentary gift card with the purchase of a gift basket', '144' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 44, 145, 2010-07-20, 17, '', '145' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 67, 146, 2013-09-18, 39, 'Enjoy a free upgrade to a deluxe room with any hotel booking', '146' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 65, 147, 2009-06-10, 45, '', '147' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 10, 148, 2007-01-23, 34, '', '148' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 45, 149, 2020-06-08, 62, '', '149' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 30, 150, 2009-12-11, 63, 'get 1 free on all books in stock', '150' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 66, 151, 2000-12-25, 68, 'Get a free 1-month trial of our premium service', '151' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 52, 152, 2001-04-04, 24, 'Buy 2', '152' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 83, 153, 2023-03-29, 10, 'get 1 free on all protein bars', '153' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 55, 154, 2020-03-27, 48, 'get one free on all frozen yogurt flavors', '154' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 42, 155, 2010-11-13, 57, '', '155' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 27, 156, 2023-08-13, 69, 'Enjoy a free upgrade to a full body massage', '156' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 83, 157, 2014-07-12, 53, 'Receive a complimentary drink with any dinner special', '157' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 45, 158, 2021-03-14, 50, '', '158' );
